FILE: /scratch/elieh5/CNT_final/CNT_10x10_ring2_0S_DOS.out
LATTICE_VECTORS:
56.9141921997         0.0000000000         0.0000000000
0.0000000000        56.9141921997         0.0000000000
0.0000000000         0.0000000000         4.9100005000
ATOMIC_COORDS:
x y z species
35.32233446 28.51398585 1.48284667 C
35.32233445 28.51398592 3.93784697 C
35.16365257 29.93720008 1.48289061 C
35.16365256 29.93720020 3.93789090 C
34.97103070 30.63171043 0.25540304 C
34.97103064 30.63171052 2.71040327 C
34.37191363 31.93328753 0.25487289 C
34.37191361 31.93328747 2.70987315 C
33.97225069 32.53323944 1.48224188 C
33.97225077 32.53323945 3.93724205 C
33.00465677 33.58947782 1.48164753 C
33.00465676 33.58947794 3.93664744 C
32.44250541 34.04004422 0.25414043 C
32.44250521 34.04004408 2.70914075 C
31.19870358 34.75048778 0.25487469 C
31.19870468 34.75048721 2.70987499 C
30.52505827 35.00618863 1.48251427 C
30.52505829 35.00618854 3.93751377 C
29.12232632 35.29654455 1.48230723 C
29.12232623 35.29654465 3.93730884 C
28.40293166 35.32990480 0.25497310 C
28.40293301 35.32990467 2.70997344 C
26.98032928 35.16649511 0.25609108 C
26.98032882 35.16649507 2.71109140 C
26.28688424 34.97138466 1.48347476 C
26.28688237 34.97138302 3.93847869 C
24.98675893 34.37042188 1.48192730 C
24.98675888 34.37042189 3.93692779 C
24.38821014 33.97026331 0.25414056 C
24.38820949 33.97026279 2.70914087 C
23.33453069 33.00071078 0.25370892 C
23.33453074 33.00071065 2.70870927 C
22.88474924 32.43845234 1.48135471 C
22.88474921 32.43845242 3.93635397 C
22.17361595 31.19506244 1.48289908 C
22.17361596 31.19506242 3.93789892 C
21.91699311 30.52172208 0.25549976 C
21.91699312 30.52172199 2.71050014 C
21.62606493 29.11904631 0.25558765 C
21.62606499 29.11904648 2.71058803 C
21.59141471 28.39964132 1.48292595 C
21.59141470 28.39964129 3.93792624 C
21.75042516 26.97650387 1.48239917 C
21.75042521 26.97650380 3.93739955 C
21.94301892 26.28207062 0.25487250 C
21.94301893 26.28207067 2.70987283 C
22.54194040 24.98041585 0.25484622 C
22.54194044 24.98041585 2.70984653 C
22.94154836 24.38053969 1.48231025 C
22.94154833 24.38053971 3.93731059 C
23.90919579 23.32451733 1.48206882 C
23.90919575 23.32451733 3.93706915 C
24.47124928 22.87395537 0.25455660 C
24.47124926 22.87395540 2.70955690 C
25.71491436 22.16325206 0.25493361 C
25.71491433 22.16325208 2.70993387 C
26.38871759 21.90741795 1.48248666 C
26.38871758 21.90741795 3.93748697 C
27.79157965 21.61722002 1.48217690 C
27.79157971 21.61722001 3.93717730 C
28.51108305 21.58386901 0.25483938 C
28.51108298 21.58386902 2.70983967 C
29.93372514 21.74720816 0.25619800 C
29.93372517 21.74720815 2.71119841 C
30.62728468 21.94226360 1.48364056 C
30.62728478 21.94226367 3.93864094 C
31.92742928 22.54343265 1.48216868 C
31.92742928 22.54343267 3.93716898 C
32.52593160 22.94369943 0.25439827 C
32.52593163 22.94369948 2.70939859 C
33.57952141 23.91326879 0.25377855 C
33.57952138 23.91326881 2.70877878 C
34.02919370 24.47545671 1.48137655 C
34.02919366 24.47545666 3.93637679 C
34.74040742 25.71868364 1.48272689 C
34.74040729 25.71868365 3.93772730 C
34.99683554 26.39197902 0.25534072 C
34.99683550 26.39197904 2.71034093 C
35.28766747 27.79455069 0.25541215 C
35.28766742 27.79455067 2.71041244 C

FILE: /scratch/elieh5/CNT_final/CNT_10x10_ring2_0S_DOS_buckling.out
LATTICE_VECTORS:
56.9141921997         0.0000000000         0.0000000000
0.0000000000        56.9141921997         0.0000000000
0.0000000000         0.0000000000         4.9100005000
ATOMIC_COORDS:
x y z species
35.32233446 28.51398585 1.48284667 C
35.32233445 28.51398592 3.93784697 C
35.16365257 29.93720008 1.48289061 C
35.16365256 29.93720020 3.93789090 C
34.97103070 30.63171043 0.25540304 C
34.97103064 30.63171052 2.71040327 C
34.37191363 31.93328753 0.25487289 C
34.37191361 31.93328747 2.70987315 C
33.97225069 32.53323944 1.48224188 C
33.97225077 32.53323945 3.93724205 C
33.00465677 33.58947782 1.48164753 C
33.00465676 33.58947794 3.93664744 C
32.44250541 34.04004422 0.25414043 C
32.44250521 34.04004408 2.70914075 C
31.19870358 34.75048778 0.25487469 C
31.19870468 34.75048721 2.70987499 C
30.52505827 35.00618863 1.48251427 C
30.52505829 35.00618854 3.93751377 C
29.12232632 35.29654455 1.48230723 C
29.12232623 35.29654465 3.93730884 C
28.40293166 35.32990480 0.25497310 C
28.40293301 35.32990467 2.70997344 C
26.98032928 35.16649511 0.25609108 C
26.98032882 35.16649507 2.71109140 C
26.28688424 34.97138466 1.48347476 C
26.28688237 34.97138302 3.93847869 C
24.98675893 34.37042188 1.48192730 C
24.98675888 34.37042189 3.93692779 C
24.38821014 33.97026331 0.25414056 C
24.38820949 33.97026279 2.70914087 C
23.33453069 33.00071078 0.25370892 C
23.33453074 33.00071065 2.70870927 C
22.88474924 32.43845234 1.48135471 C
22.88474921 32.43845242 3.93635397 C
22.17361595 31.19506244 1.48289908 C
22.17361596 31.19506242 3.93789892 C
21.91699311 30.52172208 0.25549976 C
21.91699312 30.52172199 2.71050014 C
21.62606493 29.11904631 0.25558765 C
21.62606499 29.11904648 2.71058803 C
21.59141471 28.39964132 1.48292595 C
21.59141470 28.39964129 3.93792624 C
21.75042516 26.97650387 1.48239917 C
21.75042521 26.97650380 3.93739955 C
21.94301892 26.28207062 0.25487250 C
21.94301893 26.28207067 2.70987283 C
22.54194040 24.98041585 0.25484622 C
22.54194044 24.98041585 2.70984653 C
22.94154836 24.38053969 1.48231025 C
22.94154833 24.38053971 3.93731059 C
23.90919579 23.32451733 1.48206882 C
23.90919575 23.32451733 3.93706915 C
24.47124928 22.87395537 0.25455660 C
24.47124926 22.87395540 2.70955690 C
25.71491436 22.16325206 0.25493361 C
25.71491433 22.16325208 2.70993387 C
26.38871759 21.90741795 1.48248666 C
26.38871758 21.90741795 3.93748697 C
27.79157965 21.61722002 1.48217690 C
27.79157971 21.61722001 3.93717730 C
28.51108305 21.58386901 0.25483938 C
28.51108298 21.58386902 2.70983967 C
29.93372514 21.74720816 0.25619800 C
29.93372517 21.74720815 2.71119841 C
30.62728468 21.94226360 1.48364056 C
30.62728478 21.94226367 3.93864094 C
31.92742928 22.54343265 1.48216868 C
31.92742928 22.54343267 3.93716898 C
32.52593160 22.94369943 0.25439827 C
32.52593163 22.94369948 2.70939859 C
33.57952141 23.91326879 0.25377855 C
33.57952138 23.91326881 2.70877878 C
34.02919370 24.47545671 1.48137655 C
34.02919366 24.47545666 3.93637679 C
34.74040742 25.71868364 1.48272689 C
34.74040729 25.71868365 3.93772730 C
34.99683554 26.39197902 0.25534072 C
34.99683550 26.39197904 2.71034093 C
35.28766747 27.79455069 0.25541215 C
35.28766742 27.79455067 2.71041244 C

FILE: /scratch/elieh5/CNT_final/CNT_10x10_ring2_10S_DOS.out
LATTICE_VECTORS:
56.9141921997         0.0000000000         0.0000000000
0.0000000000        56.9141921997         0.0000000000
0.0000000000         0.0000000000         4.9100005000
ATOMIC_COORDS:
x y z species
35.59333726 28.49815683 1.47374050 C
35.42206689 30.01407864 1.47378925 C
34.97766261 30.65024815 2.71969539 C
34.38969247 31.92470863 2.71975890 C
34.19761916 32.67637362 1.47375587 C
32.98762893 33.58450985 3.92878056 C
32.43442942 34.05518211 2.71977698 C
31.21700818 34.75380413 2.71977135 C
30.62436933 35.25449925 1.47381315 C
29.11236006 35.29095516 3.92875963 C
28.38806867 35.34544462 2.71971183 C
26.99372139 35.18420427 2.71972235 C
26.21922062 35.23189799 1.47379731 C
24.98548541 34.35581454 3.92888394 C
24.37053317 33.96938468 2.71988866 C
23.33846419 33.01798850 2.71996143 C
22.68089589 32.60628125 1.47395654 C
22.18235430 31.17822429 3.92880770 C
21.90234914 30.50803616 2.71976662 C
21.61213322 29.13481727 2.71967059 C
21.32074306 28.41561123 1.47378693 C
21.76060727 26.96809220 3.92880721 C
21.93632617 26.26349915 2.71975303 C
22.52422642 24.98900806 2.71982785 C
22.71630033 24.23734170 1.47382719 C
23.92627673 23.32921075 3.92883841 C
24.47949583 22.85855473 2.71983390 C
25.69694374 22.15999093 2.71981620 C
26.28961406 21.65933524 1.47386134 C
27.80164178 21.62297544 3.92880418 C
28.52592385 21.56848109 2.71975062 C
29.92028212 21.72972413 2.71975029 C
30.69478719 21.68201668 1.47382491 C
31.92854937 22.55805533 3.92890177 C
32.54353978 22.94445346 2.71990041 C
33.57563884 23.89579576 2.71996854 C
34.23321317 24.30748857 1.47395060 C
34.73177351 25.73554450 3.92878863 C
35.01176257 26.40573277 2.71974237 C
35.30196398 27.77895827 2.71963378 C
35.31628203 28.50495483 3.92872176 C
35.15341773 29.94567094 3.92875606 C
34.97767313 30.65018817 0.22788606 C
34.38968997 31.92466603 0.22775028 C
33.96835584 32.51637094 3.92876505 C
33.16669147 33.79901910 1.47377299 C
32.43435883 34.05512860 0.22776791 C
31.21695712 34.75378089 0.22783362 C
30.53143293 34.99332388 3.92879700 C
29.13153052 35.56767096 1.47381686 C
28.38810496 35.34532767 0.22784992 C
26.99380357 35.18400411 0.22785740 C
26.30092058 34.96602055 3.92881115 C
24.83585836 34.59023933 1.47388421 C
24.37043997 33.96944234 0.22790532 C
23.33835921 33.01802519 0.22792547 C
22.90295541 32.43658378 3.92892376 C
21.92333639 31.28365657 1.47381673 C
21.90239409 30.50798692 0.22781715 C
21.61209242 29.13476424 0.22788354 C
21.59779497 28.40880616 3.92875961 C
21.49193415 26.89969955 1.47384548 C
21.93631034 26.26357959 0.22794147 C
22.52425617 24.98907370 0.22782534 C
22.94555802 24.39734449 3.92882972 C
23.74719019 23.11467943 1.47383506 C
24.47954421 22.85859187 0.22782898 C
25.69699233 22.16003094 0.22789186 C
26.38254570 21.92054312 3.92884612 C
27.78247962 21.34623497 1.47385435 C
28.52589453 21.56860764 0.22789608 C
29.92019181 21.72993535 0.22788306 C
30.61308286 21.94790243 3.92883204 C
32.07817764 22.32361770 1.47391128 C
32.54362218 22.94439270 0.22792444 C
33.57573151 23.89576017 0.22792708 C
34.01116784 24.47718696 3.92892665 C
34.99079746 25.63010387 1.47378739 C
35.01172155 26.40576595 0.22780467 C
35.30200153 27.77899346 0.22782855 C
37.20220470 29.44748538 1.47375149 S
34.93918914 34.39195430 1.47381791 S
30.22787746 37.08006006 1.47359804 S
24.81003842 36.45900053 1.47364668 S
20.82107932 32.79275722 1.47373031 S
19.71181909 27.46635599 1.47381062 S
21.97469952 22.52175718 1.47388275 S
26.68621922 19.83378240 1.47363744 S
32.10390706 20.45484813 1.47364521 S
36.09305974 24.12099230 1.47371692 S

FILE: /scratch/elieh5/CNT_final/CNT_10x10_ring2_10S_DOS_buckling.out
LATTICE_VECTORS:
56.9141921997         0.0000000000         0.0000000000
0.0000000000        56.9141921997         0.0000000000
0.0000000000         0.0000000000         4.9100005000
ATOMIC_COORDS:
x y z species
35.59333726 28.49815683 1.47374050 C
35.42206689 30.01407864 1.47378925 C
34.97766261 30.65024815 2.71969539 C
34.38969247 31.92470863 2.71975890 C
34.19761916 32.67637362 1.47375587 C
32.98762893 33.58450985 3.92878056 C
32.43442942 34.05518211 2.71977698 C
