FILE: /scratch/elieh5/GNR_ES/GNR_armchair_104_ES_spin.out
LATTICE_VECTORS:
55.25330077435423 0.00000000000000 0.00000000000000
0.00000000000000 30.00000000000000 0.00000000000000
0.00000000000000 0.00000000000000 17.04000000000000
ATOMIC_COORDS:
x y z species
38.176721 15.000000 0.005690 C
39.397500 15.000000 0.734905 C
39.397500 15.000000 2.105095 C
38.176721 15.000000 2.834310 C
38.176721 15.000000 4.265690 C
39.397500 15.000000 4.994905 C
39.397500 15.000000 6.365095 C
38.176721 15.000000 7.094310 C
38.176721 15.000000 8.525690 C
39.397500 15.000000 9.254905 C
39.397500 15.000000 10.625095 C
38.176721 15.000000 11.354310 C
38.176721 15.000000 12.785690 C
39.397500 15.000000 13.514905 C
39.397500 15.000000 14.885095 C
38.176721 15.000000 15.614310 C
35.692371 15.000000 -0.001964 C
36.938119 15.000000 0.706431 C
36.938119 15.000000 2.133569 C
35.692371 15.000000 2.841964 C
35.692371 15.000000 4.258036 C
36.938119 15.000000 4.966431 C
36.938119 15.000000 6.393569 C
35.692371 15.000000 7.101964 C
35.692371 15.000000 8.518036 C
36.938119 15.000000 9.226431 C
36.938119 15.000000 10.653569 C
35.692371 15.000000 11.361964 C
35.692371 15.000000 12.778036 C
36.938119 15.000000 13.486431 C
36.938119 15.000000 14.913569 C
35.692371 15.000000 15.621964 C
33.209909 15.000000 0.002958 C
34.448168 15.000000 0.708474 C
34.448168 15.000000 2.131526 C
33.209909 15.000000 2.837042 C
33.209909 15.000000 4.262958 C
34.448168 15.000000 4.968474 C
34.448168 15.000000 6.391526 C
33.209909 15.000000 7.097042 C
33.209909 15.000000 8.522958 C
34.448168 15.000000 9.228474 C
34.448168 15.000000 10.651526 C
33.209909 15.000000 11.357042 C
33.209909 15.000000 12.782958 C
34.448168 15.000000 13.488474 C
34.448168 15.000000 14.911526 C
33.209909 15.000000 15.617042 C
30.724445 15.000000 0.000608 C
31.968502 15.000000 0.710596 C
