FILE: Gr_10x10_9lines_bands
LATTICE_VECTORS:
24.6841602325         0.0000000000         0.0000000000
12.3420815395        21.3771090107         0.0000000000
0.0000000000         0.0000000000        39.9990577698
ATOMIC_COORDS:
x y z species
1.220277 0.711223 20.000108 C
3.687422 4.970837 19.998823 C
6.177146 9.249585 20.217552 C
8.622123 13.570485 19.999736 C
11.094091 17.829643 20.000704 C
6.157108 0.711222 20.000108 C
8.624254 4.970837 19.998824 C
11.113978 9.249585 20.217550 C
13.558954 13.570485 19.999736 C
16.030923 17.829644 20.000705 C
11.093940 0.711223 20.000108 C
13.561087 4.970836 19.998824 C
16.050811 9.249586 20.217550 C
18.495786 13.570485 19.999737 C
20.967756 17.829644 20.000705 C
16.030773 0.711222 20.000108 C
18.497921 4.970836 19.998824 C
20.987643 9.249586 20.217550 C
23.432619 13.570485 19.999737 C
25.904588 17.829644 20.000704 C
20.967605 0.711222 20.000108 C
23.434751 4.970837 19.998824 C
25.924475 9.249586 20.217551 C
28.369452 13.570485 19.999736 C
30.841420 17.829644 20.000705 C
24.669735 2.841031 20.000072 C
27.137393 7.105589 19.997085 C
29.600930 11.448033 20.008072 C
32.073910 15.700773 19.998897 C
34.543812 19.958943 19.999925 C
4.922406 2.841030 20.000072 C
7.390064 7.105589 19.997085 C
9.853601 11.448032 20.008072 C
12.326582 15.700773 19.998897 C
14.796483 19.958943 19.999925 C
9.859238 2.841030 20.000072 C
12.326897 7.105589 19.997085 C
14.790433 11.448033 20.008072 C
17.263413 15.700775 19.998897 C
19.733316 19.958943 19.999925 C
14.796071 2.841030 20.000072 C
17.263730 7.105589 19.997085 C
19.727265 11.448034 20.008071 C
22.200245 15.700775 19.998897 C
24.670148 19.958943 19.999925 C
19.732904 2.841030 20.000072 C
22.200562 7.105588 19.997085 C
24.664098 11.448034 20.008071 C
27.137078 15.700775 19.998896 C
29.606980 19.958943 19.999925 C
3.688691 0.711224 19.999825 C
6.155837 4.970838 20.001127 C
8.645552 9.249580 19.782285 C
11.090536 13.570470 20.000204 C
13.562515 17.829635 19.999244 C
8.625523 0.711223 19.999825 C
11.092669 4.970839 20.001127 C
13.582384 9.249580 19.782284 C
16.027368 13.570471 20.000204 C
18.499347 17.829635 19.999245 C
13.562355 0.711223 19.999824 C
16.029502 4.970838 20.001127 C
18.519217 9.249581 19.782284 C
20.964201 13.570473 20.000204 C
23.436180 17.829636 19.999245 C
18.499187 0.711224 19.999825 C
20.966335 4.970838 20.001127 C
23.456048 9.249581 19.782284 C
25.901034 13.570473 20.000204 C
28.373012 17.829635 19.999245 C
23.436020 0.711225 19.999825 C
25.903166 4.970838 20.001127 C
28.392881 9.249581 19.782284 C
30.837866 13.570471 20.000204 C
33.309844 17.829635 19.999244 C
2.453982 2.841029 19.999859 C
4.921645 7.105585 20.002813 C
7.385186 11.448048 19.991800 C
9.858158 15.700777 20.001055 C
12.328059 19.958940 20.000020 C
7.390814 2.841028 19.999859 C
9.858477 7.105586 20.002813 C
12.322017 11.448047 19.991798 C
14.794990 15.700777 20.001056 C
17.264891 19.958939 20.000020 C
12.327646 2.841028 19.999859 C
14.795310 7.105586 20.002813 C
17.258848 11.448048 19.991800 C
19.731823 15.700779 20.001055 C
22.201723 19.958939 20.000020 C
17.264479 2.841028 19.999859 C
19.732143 7.105585 20.002814 C
22.195680 11.448047 19.991801 C
24.668655 15.700779 20.001055 C
27.138555 19.958940 20.000020 C
22.201311 2.841029 19.999859 C
24.668974 7.105585 20.002814 C
27.132513 11.448047 19.991800 C
29.605487 15.700779 20.001055 C
32.075387 19.958940 20.000020 C
24.670255 1.419274 19.999625 C
27.137503 5.677162 19.998084 C
29.588605 9.997469 20.227875 C
32.072596 14.277000 19.996886 C
34.544093 18.537389 19.999743 C
4.922927 1.419273 19.999625 C
7.390175 5.677162 19.998084 C
9.841277 9.997469 20.227874 C
12.325265 14.277000 19.996886 C
14.796764 18.537389 19.999743 C
9.859759 1.419272 19.999625 C
12.327008 5.677162 19.998085 C
14.778109 9.997469 20.227875 C
17.262095 14.277001 19.996886 C
19.733596 18.537390 19.999744 C
14.796591 1.419273 19.999625 C
17.263841 5.677161 19.998085 C
19.714941 9.997470 20.227874 C
22.198929 14.277001 19.996886 C
24.670429 18.537390 19.999743 C
19.733423 1.419274 19.999625 C
22.200672 5.677161 19.998085 C
24.651773 9.997469 20.227874 C
27.135763 14.277000 19.996886 C
29.607261 18.537390 19.999744 C
23.435987 3.547496 19.999808 C
25.905373 7.799210 19.999236 C
28.368122 12.141765 19.998544 C
30.840624 16.407622 20.000647 C
33.309960 20.666372 19.999866 C
3.688658 3.547496 19.999808 C
6.158044 7.799209 19.999235 C
8.620794 12.141765 19.998543 C
11.093294 16.407619 20.000647 C
13.562632 20.666372 19.999866 C
8.625490 3.547496 19.999808 C
11.094877 7.799210 19.999234 C
13.557626 12.141765 19.998542 C
16.030124 16.407621 20.000647 C
18.499463 20.666372 19.999866 C
13.562323 3.547496 19.999808 C
16.031710 7.799210 19.999234 C
18.494457 12.141766 19.998544 C
20.966958 16.407624 20.000647 C
23.436296 20.666371 19.999866 C
18.499155 3.547495 19.999808 C
20.968542 7.799210 19.999236 C
23.431290 12.141765 19.998544 C
