FILE: /scratch/elieh5/Gr_sqr_WFSX/GrS_sqr2x2_1line_bands.out
LATTICE_VECTORS:
9.8243839   0.0000000   0.0000000
0.0000000   8.5082475   0.0000000
0.0000000   0.0000000  37.1732681
ATOMIC_COORDS:
x y z species
1.21269981 1.80264085 18.70507660 C
1.21269981 6.05676462 18.70507660 C
6.12489537 1.80264169 18.70507605 C
6.12489537 6.05676546 18.70507606 C
3.65155773 1.77328581 18.31004629 C
3.65155774 6.02740958 18.31004629 C
8.56374953 1.77328440 18.31004630 C
8.56374952 6.02740818 18.31004630 C
1.21275286 0.32851405 18.70516079 C
1.21275286 4.58263782 18.70516079 C
6.12494145 0.32851542 18.70516096 C
6.12494145 4.58263919 18.70516096 C
3.65156240 0.35793334 18.31011164 C
3.65156240 4.61205711 18.31011164 C
8.56375953 0.35793057 18.31011165 C
8.56375953 4.61205434 18.31011165 C
0.01493711 3.92961292 18.10005734 C
0.01493710 8.18373669 18.10005734 C
4.92713065 3.92960739 18.10005285 C
4.92713065 8.18373115 18.10005285 C
2.48827715 3.90020962 18.49496462 C
2.48827716 8.15433339 18.49496462 C
7.40046716 3.90021009 18.49496467 C
7.40046716 8.15433387 18.49496467 C
0.01505018 2.45545338 18.09997840 C
0.01505019 6.70957715 18.09997840 C
4.92724383 2.45545773 18.09997611 C
4.92724383 6.70958149 18.09997611 C
2.48832277 2.48488302 18.49493156 C
2.48832276 6.73900679 18.49493156 C
7.40051296 2.48488242 18.49493120 C
7.40051297 6.73900618 18.49493120 C
0.91194586 1.06566978 20.39087178 S
0.91194586 5.31979355 20.39087178 S
5.82413702 1.06566931 20.39087011 S
5.82413702 5.31979308 20.39087011 S
0.31592351 3.19280648 16.41431726 S
0.31592351 7.44693025 16.41431726 S
5.22811802 3.19280964 16.41430557 S
5.22811802 7.44693341 16.41430557 S

FILE: /scratch/elieh5/Gr_sqr_WFSX/GrS_sqr2x2_3line_bands.out
LATTICE_VECTORS:
9.8243839   0.0000000   0.0000000
0.0000000   8.5082475   0.0000000
0.0000000   0.0000000  37.1732681
ATOMIC_COORDS:
x y z species
1.18505745 1.80245145 18.76286271 C
1.18505745 6.05657522 18.76286271 C
6.14222228 1.77363261 18.33718137 C
6.14222228 6.02775638 18.33718138 C
3.68817388 1.78244515 18.58845978 C
3.68817388 6.03656891 18.58845979 C
8.57209713 1.76083094 18.11575573 C
8.57209713 6.01495471 18.11575574 C
1.18496155 0.32718204 18.76342934 C
1.18496156 4.58130582 18.76342935 C
6.14212989 0.35580100 18.33713517 C
6.14212989 4.60992477 18.33713520 C
3.68810659 0.34698524 18.58854893 C
3.68810660 4.60110901 18.58854895 C
8.57207561 0.36883526 18.11619865 C
8.57207561 4.62295903 18.11619866 C
0.04260230 3.92954240 18.04132984 C
0.04260230 8.18366618 18.04132985 C
4.90992686 3.90068416 18.46735797 C
4.90992686 8.15480793 18.46735794 C
2.48004409 3.88792849 18.68835410 C
2.48004409 8.14205226 18.68835409 C
7.36397267 3.90959679 18.21591451 C
7.36397267 8.16372056 18.21591450 C
0.04263700 2.45432941 18.04068764 C
0.04263701 6.70845318 18.04068764 C
4.90987849 2.48291017 18.46740801 C
4.90987848 6.73703394 18.46740802 C
2.48006140 2.49589290 18.68807704 C
2.48006139 6.75001666 18.68807704 C
7.36407206 2.47408072 18.21576315 C
7.36407206 6.72820448 18.21576315 C
0.74776888 1.06576065 20.41580878 S
0.74776887 5.31988442 20.41580878 S
0.47974949 3.19277728 16.38814643 S
0.47974949 7.44690104 16.38814643 S

FILE: /scratch/elieh5/Gr_sqr_WFSX/GrS_sqr3x3_2line_bands.out
LATTICE_VECTORS:
14.7365764   0.0000000   0.0000000
0.0000000  12.7623713   0.0000000
0.0000000   0.0000000  37.1732681
ATOMIC_COORDS:
x y z species
1.19347600 1.80348219 18.74965265 C
1.19347601 6.05760594 18.74965264 C
1.19347600 10.31172971 18.74965264 C
6.11361976 1.75686257 18.17375192 C
6.11361977 6.01098624 18.17375192 C
6.11361977 10.26511002 18.17375191 C
11.05781747 1.77816002 18.48316767 C
11.05781747 6.03228376 18.48316767 C
11.05781747 10.28640754 18.48316767 C
3.68958329 1.77818701 18.48385158 C
3.68958330 6.03231069 18.48385158 C
3.68958328 10.28643449 18.48385158 C
8.56183539 1.80350519 18.74955804 C
8.56183539 6.05762893 18.74955804 C
8.56183539 10.31175271 18.74955804 C
13.48188737 1.75679541 18.17350263 C
13.48188737 6.01091912 18.17350264 C
13.48188737 10.26504289 18.17350264 C
1.19349751 0.32783813 18.74822954 C
1.19349750 4.58196190 18.74822954 C
1.19349750 8.83608568 18.74822954 C
6.11364870 0.37466269 18.17292145 C
6.11364871 4.62878653 18.17292145 C
6.11364870 8.88291030 18.17292145 C
11.05788372 0.35353796 18.48280453 C
11.05788371 4.60766176 18.48280452 C
11.05788372 8.86178554 18.48280453 C
3.68960047 0.35352103 18.48351136 C
3.68960045 4.60764483 18.48351136 C
3.68960046 8.86176862 18.48351136 C
8.56186028 0.32783401 18.74814372 C
8.56186027 4.58195779 18.74814372 C
8.56186027 8.83608156 18.74814373 C
13.48195705 0.37472905 18.17266460 C
13.48195706 4.62885286 18.17266459 C
13.48195705 8.88297664 18.17266459 C
0.03304538 3.93050502 18.05601767 C
0.03304539 8.18462877 18.05601766 C
0.03304538 12.43875255 18.05601766 C
4.90525342 3.90521573 18.32234982 C
4.90525342 8.15933944 18.32234982 C
4.90525341 12.41346326 18.32234982 C
9.84955901 3.88392612 18.63178026 C
9.84955900 8.13804984 18.63178027 C
9.84955901 12.39217367 18.63178026 C
2.48127358 3.88389627 18.63222534 C
2.48127357 8.13801996 18.63222534 C
2.48127356 12.39214376 18.63222534 C
7.40131080 3.93052874 18.05608191 C
7.40131080 8.18465250 18.05608190 C
7.40131080 12.43877628 18.05608191 C
12.27349559 3.90520705 18.32174829 C
12.27349559 8.15933079 18.32174829 C
12.27349559 12.41345461 18.32174829 C
0.03306007 2.45491568 18.05741138 C
0.03306007 6.70903946 18.05741138 C
0.03306007 10.96316322 18.05741138 C
4.90520375 2.48055125 18.32275070 C
4.90520375 6.73467512 18.32275070 C
4.90520376 10.98879886 18.32275069 C
9.84948122 2.50179601 18.63251888 C
9.84948122 6.75591983 18.63251888 C
9.84948123 11.01004355 18.63251888 C
2.48117105 2.50183206 18.63294722 C
2.48117103 6.75595593 18.63294722 C
2.48117105 11.01007966 18.63294722 C
7.40132227 2.45488915 18.05745076 C
7.40132228 6.70901294 18.05745075 C
7.40132227 10.96313670 18.05745076 C
12.27349605 2.48055928 18.32215739 C
12.27349605 6.73468309 18.32215740 C
12.27349604 10.98880683 18.32215740 C
0.81311728 1.06339588 20.41466450 S
0.81311728 5.31751964 20.41466450 S
0.81311728 9.57164342 20.41466450 S
8.18177649 1.06344302 20.41462541 S
8.18177649 5.31756679 20.41462541 S
8.18177648 9.57169056 20.41462541 S
0.41323943 3.19062313 16.39119314 S
0.41323942 7.44474690 16.39119314 S
0.41323942 11.69887067 16.39119314 S
7.78153864 3.19064012 16.39122510 S
7.78153864 7.44476389 16.39122511 S
7.78153865 11.69888766 16.39122511 S

FILE: /scratch/elieh5/Gr_sqr_WFSX/GrS_sqr3x3_5line_bands.out
LATTICE_VECTORS:
14.7365764   0.0000000   0.0000000
0.0000000  12.7623713   0.0000000
0.0000000   0.0000000  37.1732681
ATOMIC_COORDS:
x y z species
1.16245598 1.80696576 18.79080957 C
1.16245439 6.06109520 18.79080342 C
1.16245825 10.31521650 18.79080580 C
6.13998910 1.77638347 18.59920093 C
6.13999277 6.03052274 18.59920163 C
6.13999340 10.28463003 18.59919818 C
11.05262830 1.77881699 18.10507346 C
11.05262038 6.03295887 18.10507355 C
11.05262634 10.28707212 18.10507047 C
3.67760195 1.78297619 18.76384664 C
3.67760393 6.03710727 18.76384520 C
3.67760851 10.29121598 18.76384240 C
8.59135825 1.77985268 18.33552165 C
8.59136104 6.03399135 18.33552036 C
8.59135988 10.28809993 18.33551603 C
13.49864792 1.76169874 18.00316583 C
13.49864172 6.01584098 18.00315440 C
13.49864563 10.26995322 18.00315719 C
1.16223256 0.33071320 18.79091323 C
1.16223343 4.58483593 18.79091839 C
1.16223351 8.83896247 18.79091268 C
6.13996171 0.36248376 18.59944816 C
6.13996017 4.61659362 18.59945273 C
6.13995788 8.87072062 18.59944958 C
11.05265699 0.35857305 18.10521845 C
11.05265877 4.61267697 18.10521852 C
11.05265896 8.86680579 18.10521626 C
3.67757562 0.35580570 18.76358875 C
3.67757962 4.60992137 18.76359137 C
3.67757561 8.86404920 18.76358690 C
8.59139508 0.35835906 18.33528570 C
8.59138952 4.61246112 18.33528893 C
8.59138621 8.86659152 18.33528562 C
13.49863631 0.37532777 18.00297854 C
13.49863103 4.62943238 18.00298046 C
13.49863042 8.88356621 18.00297759 C
0.06007702 3.93378862 18.00399495 C
0.06007489 8.18791064 18.00398805 C
0.06007857 12.44203041 18.00398786 C
4.90637070 3.90661780 18.69960750 C
4.90637285 8.16074534 18.69960295 C
4.90637412 12.41485630 18.69960292 C
9.81930174 3.90291470 18.20752707 C
9.81929553 8.15704357 18.20752458 C
9.81929592 12.41115077 18.20752540 C
2.46014314 3.88940253 18.79398440 C
2.46014429 8.14353263 18.79397825 C
2.46014500 12.39764396 18.79397969 C
7.36785518 3.90709213 18.47194406 C
7.36785733 8.16122268 18.47194110 C
7.36785313 12.41532764 18.47193933 C
